Symbol,Date,Open,High,Low,Close,Adj Close,Volume
C,9/26/2019,69.32,69.529999,68.800003,69.110001,68.167549,8555500
C,9/27/2019,69.82,70.360001,69.059998,69.459999,68.512772,11559700
C,9/30/2019,69.800003,69.900002,69.010002,69.080002,68.137955,8661000
C,10/1/2019,69.57,70.269997,68.010002,68.150002,67.220642,12428500
C,10/2/2019,67.760002,67.800003,66.190002,66.260002,65.356415,14760900
C,10/3/2019,66.080002,66.730003,64.790001,66.699997,65.790405,12646100
C,10/4/2019,66.760002,68.239998,66.669998,68.18,67.250237,10977100
C,10/7/2019,67.870003,68.839996,67.860001,68.150002,67.220642,7835500
C,10/8/2019,67.029999,67.18,66.029999,66.400002,65.494499,13500700
C,10/9/2019,67,67.769997,66.790001,67.43,66.510452,8357800
C,10/10/2019,67.769997,69.290001,67.550003,68.620003,67.684227,9817000
C,10/11/2019,69.989998,70.93,69.989998,70.099998,69.144051,14921700
C,10/14/2019,69.529999,70.5,69.459999,70.239998,69.282135,11398600
C,10/15/2019,70.169998,72.080002,68.699997,71.220001,70.248779,22030100
C,10/16/2019,70.82,71.459999,69.419998,69.5,68.552231,17295400
C,10/17/2019,70.029999,70.339996,69.18,69.599998,68.650864,11382800
C,10/18/2019,69.32,70.089996,69.139999,69.739998,68.788948,10413600
C,10/21/2019,70.519997,71.889999,70.519997,71.809998,70.830727,13080600
C,10/22/2019,71.720001,72.870003,71.470001,72.059998,71.077316,11052300
C,10/23/2019,71.900002,72.470001,71.730003,72.449997,71.461998,10327000
C,10/24/2019,72.550003,72.860001,71.860001,72.300003,71.314049,7445700
C,10/25/2019,71.970001,73.419998,71.809998,73.169998,72.17218,10497600
C,10/28/2019,73.730003,74.279999,73.440002,73.589996,72.586449,13086800
C,10/29/2019,73.139999,73.790001,72.720001,73.089996,72.093269,9592300
C,10/30/2019,72.75,73.349998,72.099998,72.970001,71.974915,12431500
C,10/31/2019,72.360001,72.970001,71.330002,71.860001,70.880043,16864000
C,11/1/2019,72.25,73.989998,72.099998,73.839996,73.353638,12935200
C,11/4/2019,74.940002,75.269997,74.110001,75.150002,74.655014,12585200
C,11/5/2019,75.190002,75.970001,74.639999,74.830002,74.337128,14403200
C,11/6/2019,74.419998,75.050003,73.970001,74.419998,73.929825,12629200
C,11/7/2019,75.410004,76.279999,75.410004,75.809998,75.310669,14340500
C,11/8/2019,75.480003,76.120003,75.059998,76.120003,75.618629,7927100
C,11/11/2019,75.449997,76.080002,75.239998,75.599998,75.102051,6020300
C,11/12/2019,75.550003,75.959999,75.010002,75.07,74.575546,11066600
C,11/13/2019,74.25,74.910004,73.709999,73.910004,73.423187,14040700
