Symbol,Date,Open,High,Low,Close,Adj Close,Volume
JPM,6/13/2019,109.459999,110.160004,109.050003,109.540001,107.217224,8406900
JPM,6/14/2019,109.57,110.300003,108.629997,109.82,107.491295,9077400
JPM,6/17/2019,109.699997,110.370003,109.059998,109.220001,106.904015,8128600
JPM,6/18/2019,109.010002,111.410004,108.980003,110.709999,108.362419,11057300
JPM,6/19/2019,110.82,111.589996,109.699997,109.910004,107.579391,13126500
JPM,6/20/2019,110.879997,111.089996,109.029999,110.190002,107.853447,13638000
JPM,6/21/2019,110.190002,111.669998,109.089996,109.440002,107.119354,27089500
JPM,6/24/2019,109.279999,109.769997,108.540001,108.660004,106.355896,13039600
JPM,6/25/2019,108.68,108.980003,107.669998,107.760002,105.474983,18660100
JPM,6/26/2019,108.300003,109.309998,108.160004,108.480003,106.179718,10324600
JPM,6/27/2019,108.839996,109.550003,108.440002,108.839996,106.532074,10906600
JPM,6/28/2019,111.040001,112.43,110.900002,111.800003,109.429314,21634700
JPM,7/1/2019,113.230003,114.519997,113.080002,113.68,111.269447,12762500
JPM,7/2/2019,113.510002,114.199997,113.220001,113.800003,111.386902,10174900
JPM,7/3/2019,113.339996,113.870003,112.260002,112.82,111.209473,6849400
JPM,7/5/2019,113.510002,114.269997,112.919998,113.489998,111.869904,7929400
JPM,7/8/2019,112.959999,113.480003,112.5,112.870003,111.258759,6917200
JPM,7/9/2019,112.279999,113.489998,112.150002,113.349998,111.731903,8947300
JPM,7/10/2019,113.370003,113.830002,112.739998,113.019997,111.406616,9242300
JPM,7/11/2019,113.370003,114.360001,113.120003,114.099998,112.471199,11595200
JPM,7/12/2019,114.129997,115.349998,113.93,115.300003,113.654068,10783400
JPM,7/15/2019,115.540001,115.57,113.529999,113.900002,112.274055,12946600
JPM,7/16/2019,113.480003,115.5,112.919998,115.120003,113.476639,16945000
JPM,7/17/2019,114.43,114.940002,113.730003,113.989998,112.36277,13120900
JPM,7/18/2019,113.93,115.07,113.550003,114.669998,113.033058,9400700
JPM,7/19/2019,114.889999,115.120003,113.400002,113.540001,111.919189,10402800
JPM,7/22/2019,112.910004,114.449997,112.769997,114.269997,112.638771,9061100
JPM,7/23/2019,114.879997,116.449997,114.82,116.360001,114.698936,12752200
JPM,7/24/2019,115.580002,116.879997,115.519997,116.830002,115.162224,10011000
JPM,7/25/2019,116.889999,117.239998,115.32,115.709999,114.058212,10138400
JPM,7/26/2019,115.769997,116.510002,115.529999,116.220001,114.560936,12800400
JPM,7/29/2019,116.459999,117.18,115.790001,115.849998,114.19622,8500400
JPM,7/30/2019,115.190002,116.080002,114.760002,115.589996,113.939926,7121100
JPM,7/31/2019,116.099998,116.18,114.860001,116,114.34407,13648000
JPM,8/1/2019,115.330002,116.800003,112.599998,112.940002,111.327759,15656000
JPM,8/2/2019,112.400002,113.43,111.400002,112.93,111.317902,11025500
JPM,8/5/2019,110.790001,110.980003,108.269997,109.57,108.005859,15855300
JPM,8/6/2019,110.050003,110.5,108.339996,110.43,108.853584,10203500
JPM,8/7/2019,108,108.279999,105.940002,108.029999,106.487846,17320900
JPM,8/8/2019,109.050003,110.080002,108.720001,109.860001,108.291725,10903300
JPM,8/9/2019,109.349998,110.449997,108.290001,109.739998,108.173431,9980800
JPM,8/12/2019,108.440002,108.510002,107.209999,107.68,106.142838,8437200
JPM,8/13/2019,107.949997,110.330002,107.029999,109.339996,107.779144,12124700
JPM,8/14/2019,106.300003,106.910004,104.449997,104.800003,103.303955,19491800
JPM,8/15/2019,104.82,106.379997,104.339996,105.199997,103.698242,13365600
JPM,8/16/2019,106.370003,107.980003,105.870003,107.720001,106.182274,11830600
JPM,8/19/2019,109.629997,109.75,108.419998,108.690002,107.138428,8265400
JPM,8/20/2019,107.849998,108.440002,107.239998,107.309998,105.778122,8374000
JPM,8/21/2019,108.209999,108.43,107.449997,107.610001,106.073845,8189300
